Longitud	Anchura	Altura	Altura_Cara	Anchura_Cara	Tipo
190.5	152.5	145	73.5	136.5	uno
172.5	132	125.5	63	121	uno
167	130	125.5	69.5	119.5	uno
169.5	150.5	133.5	64.5	128	uno
175	138.5	126	77.5	135.5	uno
177.5	142.5	142.5	71.5	131	uno
179.5	142.5	127.5	70.5	134.5	uno
179.5	138	133.5	73.5	132.5	uno
173.5	135.5	130.5	70	133.5	uno
162.5	139	131	62	126	uno
178.5	135	136	71	124	uno
171.5	148.5	132.5	65	146.5	uno
180.5	139	132	74.5	134.5	uno
183	149	121.5	76.5	142	uno
169.5	130	131	68	119	uno
172	140	136	70.5	133.5	uno
170	126.5	134.5	66	118.5	uno
182.5	136	138.5	76	134	dos
179.5	135	128.5	74	132	dos
191	140.5	140.5	72.5	131.5	dos
184.5	141.5	134.5	76.5	141.5	dos
181	142	132.5	79	136.5	dos
173.5	136.5	126	71.5	136.5	dos
188.5	130	143	79.5	136	dos
175	153	130	76.5	142	dos
196	142.5	123.5	76	134	dos
200	139.5	143.5	82.5	146	dos
185	134.5	140	81.5	137	dos
174.5	143.5	132.5	74	136.5	dos
195.5	144	138.5	78.5	144	dos
197	131.5	135	80.5	139	dos
182.5	131	135	68.5	136	dos
